UP主,mid,视频标题,发布时间,aid,视频时长,播放量,评论数,收藏数
贤聊电影,1108782940,励志片：很多时候，一厘米的身高差距，相差的是两个世界的人生！,2021-11-21 12:24:13,891835646,609,7276449,91,10381
快聊影院,1581017398,当镜子里的自己是个萌娃，你会怎么办，蜘蛛侠直接尬舞,2021-11-26 18:52:36,379464995,69,4125354,62,6734
想睡在迪士尼的小可爱,1891369254,尽管我们的手中空无一物，但这个世界总有人在悄悄爱着你。,2021-11-24 17:04:06,719390643,86,4005579,476,22534
火龙果讲电影,646695716,神仙片子，卖了里约热内卢的耶稣雕像！不经意间就戳中了笑点。,2021-11-23 20:12:32,891997549,428,3584175,93,2242
痞叔说电影,698329270,一个只有富豪的疗养院，永生的秘密《救命解药》,2021-11-21 09:39:07,549360863,396,3534064,4,1760
老实人讲电影,1889744808,豆瓣评分8.9  一部暖心治愈片《一个叫欧维的男人决定去死》一点要看完！,2021-11-27 16:42:50,591918228,484,3527717,1900,54395
吖吖侃电影,436885385,国产片：老师怀疑学渣作弊，让他上台证明，这下有好戏看了,2021-11-23 11:40:17,719310069,119,3363112,399,5014
欢颜侃电影,1494662203,国产片：因为这母子三人，一碗汤面五块钱，老板这一卖就是十五年,2021-11-24 15:47:25,721968982,146,2946718,1115,15273
沈腾的义子,248381403,27年前《过把瘾》火爆荧屏，王志文和江珊这对情侣，甜的齁死了！,2021-11-26 22:01:46,336978216,238,2931512,1622,52913
企鹅人的马甲,1009757374,漫威超级反派堪比浩克的存在！灭霸和小贱贱联手对抗却惨遭手撕！,2021-11-27 00:22:30,379469209,613,2772089,11,3884
效忠东城卫,289926882,用1000磅混凝土制作的小黑屋，1小时内逃出，获得10万美元奖励！,2021-11-23 01:11:47,934269371,176,2618696,295,2374
介么追剧,1296385136,油腻大叔穿越回到20岁，从底层销售员变成了校园里的追风少年,2021-11-22 20:59:19,806793972,122,2566735,5,1952
温情说剧,2090455469,一块墓地两人用，烈士墓地竟被偷偷转租，得知真相却没有责怪,2021-11-26 17:30:13,336964213,387,2503212,46,3614
军师电影解说,522159107,根据真实事件改编，励志、催泪高分电影《怒海潜将》,2021-11-26 14:09:48,379414212,464,2492892,1447,19434
贤聊电影,1108782940,励志片：黑人清洁工自制一枚微型卡钳，开创了心脏外科手术先河！,2021-11-28 21:14:48,591981309,551,2482943,381,7260
小妖儿看电影,2054675333,身上黑叉越多就越穷，两叉青年这一辈子，都只能喝奶不许吃饭！,2021-11-27 15:50:59,464416996,165,2349893,40,1606
木鱼水心,927587,大结局！最强的小队！最艰巨的任务！《士兵突击》P10（完）,2021-11-28 18:15:17,976948913,3665,2331663,10505,28209
企鹅人的马甲,1009757374,小蜘蛛完美继承钢铁意志！力量竟堪比浩克！黎明升起 英雄归来！,2021-11-27 00:35:30,464465271,721,2296621,29,6281
布衣探案,282527570,美国周星驰有多神？,2021-11-26 22:09:24,976925549,669,2248126,175,8259
木鱼水心,927587,许三多孤身入敌！老A全军覆没？《士兵突击》P8,2021-11-22 22:41:58,294339770,3110,2233992,7922,26088
贤聊电影,1108782940,励志片：很多时候，一厘米的身高差距，相差的是两个世界的人生！,2021-11-21 12:24:13,891835646,609,7276449,91,10381
快聊影院,1581017398,当镜子里的自己是个萌娃，你会怎么办，蜘蛛侠直接尬舞,2021-11-26 18:52:36,379464995,69,4125354,62,6734
想睡在迪士尼的小可爱,1891369254,尽管我们的手中空无一物，但这个世界总有人在悄悄爱着你。,2021-11-24 17:04:06,719390643,86,4005579,476,22534
